,x
0,0.2176150866778609
1,0.3921212967249037
2,0.4194547105390758
3,0.9296655538642283
4,0.39853823790567156
5,0.44520460246572413
6,0.18737856022299504
7,0.9358077286258465
8,0.7843418390888837
9,0.4253608316374221
10,0.899213658243487
11,0.34507928189141623
12,0.3534198469864456
13,0.7850088989679291
14,0.5322128760461122
15,0.42346184831164646
16,0.5420524545216556
17,0.41610740444349537
18,0.1357259136908905
19,0.5098035728032182
20,0.02461353826126489
21,0.0996847102010271
22,0.6890555073030685
23,0.03672815406852059
24,0.7974226970867103
25,0.20823824573914496
26,0.014770415100739731
27,0.7311993593063473
28,0.40607553948114017
29,0.6721989696326928
30,0.0824699230102135
31,0.1791719254442543
32,0.3563673608407494
33,0.35232629513869684
34,0.2550161876224626
35,0.3100072269216191
36,0.7681193474848413
37,0.340541702353774
38,0.7359414863184406
39,0.5830248775586709
40,0.4444497421313265
41,0.4618410065476728
42,0.9756867367906614
43,0.22453404836684765
44,0.8720461303493302
45,0.8595222180072662
46,0.6928055005507362
47,0.7312525926086382
48,0.7723976149626708
49,0.9511390597108798
50,0.357584689028818
51,0.2496631327862595
52,0.395459395465489
53,0.23085390431890385
54,0.4364354677879001
55,0.30176318863298734
56,0.2742267751003157
57,0.7011312953195324
58,0.9211849010112982
59,0.041392844879583945
60,0.6043012457648101
61,0.9904820037322172
62,0.25629956439111223
63,0.3932424049181499
64,0.31964423018973975
65,0.728691611111705
66,0.28012596255022904
67,0.37592977893389146
68,0.7542702137683607
69,0.35718054077932304
70,0.9929570459467948
71,0.2690875598940866
72,0.8364045248280537
73,0.8989961492214317
74,0.651627016993863
75,0.9995331614744563
76,0.057815673109883114
77,0.7612214283960637
78,0.02251304058287007
79,0.4697461893200312
80,0.41073260427185354
81,0.8639579376831774
82,0.503941486868943
83,0.642437123802069
84,0.23242307699280385
85,0.9628676209833387
86,0.6777580016045873
87,0.8524590121398592
88,0.6629396982036215
89,0.5516835850332231
90,0.8368206753359202
91,0.6769999597617355
92,0.9093140062537994
93,0.3809377375534474
94,0.546579908345803
95,0.7141654535526432
96,0.9568566597114571
97,0.15145122018862023
98,0.8019554733770842
99,0.19536516429891337
4
