target,weight,color
apple,91.2342582189012,red
apple,125.13492658426543,red
orange,101.31392926556457,orange
apple,102.2181736994828,green
apple,89.98212631539755,red
orange,97.52284041667167,orange
orange,96.1373380277983,orange
apple,130.85870584474605,green
apple,110.95035719539023,green
apple,59.39005434077171,red
apple,66.97321957240436,red
apple,82.16537829531478,green
orange,96.97334037585085,orange
apple,143.3692237473626,red
orange,96.4534286557692,orange
apple,90.07735618964827,green
apple,94.66025157225823,green
orange,92.72928551837778,orange
apple,66.39702487536452,red
apple,75.63562252054057,green
apple,77.98513133587304,green
orange,93.35441533037202,orange
apple,116.42556353357475,red
apple,83.45965672027583,green
apple,118.60678401916745,red
orange,93.65517750216873,orange
orange,92.51813623263124,orange
orange,102.5431556288565,orange
apple,133.6732820231412,red
apple,87.89417358522161,green
orange,104.97020991452618,orange
apple,97.1363841932725,green
orange,105.09987827279066,green
orange,98.6890466882455,orange
apple,120.47071931965746,red
apple,74.1405952686928,red
orange,107.82185817810344,orange
orange,96.31950500447184,orange
apple,149.5388640617744,green
apple,86.799158724908,green
orange,108.47113041875875,orange
orange,97.01486373703246,red
apple,115.58338291453963,green
orange,102.77064925824013,red
orange,94.57278094933683,orange
orange,108.58198768508142,red
apple,62.6489411541927,red
orange,92.12374714344443,orange
orange,102.04892960960842,orange
apple,137.9658350049562,red
orange,104.42041700520085,orange
orange,105.4732058242321,orange
orange,96.5317444318145,orange
orange,107.07020112780665,orange
orange,93.80620775132871,orange
apple,88.72412483104922,green
apple,115.22860895346155,red
apple,141.17970444081388,green
orange,94.42641213544285,orange
orange,106.63588879252958,orange
apple,127.47408017854363,red
orange,109.28795306137516,green
apple,124.09820636543158,green
apple,136.24551125396738,red
orange,99.6997984687667,orange
orange,94.5627755764218,orange
apple,121.15935804484431,green
orange,91.10189833571471,orange
orange,99.08831366115768,orange
orange,100.42224279653092,orange
orange,94.934079272727,orange
apple,133.9229356199761,green
orange,107.33041609666807,orange
orange,96.42057767254144,orange
orange,96.42559626085264,orange
orange,96.36250930735827,orange
apple,73.33020152365633,green
apple,131.56159073299716,green
orange,91.61955660053876,orange
orange,103.15790689636032,orange
orange,100.47816092260582,orange
apple,149.95961469456904,red
orange,99.07339543322108,orange
apple,83.13142193965056,red
apple,126.6587728101326,red
orange,93.21930234126019,orange
orange,102.53706459421636,orange
orange,109.83596022622108,orange
apple,67.23301291707492,red
apple,67.0007156709396,red
orange,93.48837974014867,orange
apple,119.36881957873406,red
orange,96.77017084572354,orange
apple,141.54064792958076,red
apple,99.89037713418695,red
orange,105.77344743870046,orange
apple,76.52517298237879,red
apple,149.69229528865435,green
orange,106.91885865259954,orange
apple,85.52779109710396,green
apple,104.57341716523993,red
orange,97.41573883555304,orange
orange,104.20045496974912,orange
apple,79.41170617440324,red
orange,98.73455448247037,orange
orange,96.30436682422734,orange
orange,99.00633581123087,orange
apple,79.6990358791563,red
apple,74.60363837528712,red
orange,93.54933864323202,green
orange,99.4271784645869,orange
apple,60.84526677311337,green
apple,116.99511143312307,red
orange,105.3158347510404,orange
orange,98.34026972015577,orange
apple,129.52052626010664,green
apple,56.21639058283668,green
apple,84.34916746631684,green
orange,93.97453623326146,orange
apple,61.04358916669243,red
apple,136.34384626052156,green
orange,94.82849085864947,orange
apple,67.00242953032671,red
orange,97.64008394717808,orange
orange,97.90776650799357,orange
orange,97.325217647192,orange
apple,95.9760510128124,green
apple,89.17550586581137,green
orange,92.78910072078752,orange
orange,107.32820169824905,orange
orange,105.84769823754407,orange
orange,90.55235814355277,orange
apple,57.872646536768656,green
apple,88.5421121369718,green
apple,107.60646252762342,red
apple,149.2676031821763,green
orange,95.95055763777114,orange
orange,91.38817899100172,orange
apple,63.856638195576096,red
apple,84.69850699644437,red
apple,52.541604637927186,red
apple,134.81778216659,green
orange,102.26718834925195,orange
orange,109.4158880604418,red
orange,94.28586000073453,orange
apple,105.8083364640791,green
orange,95.93806661883993,orange
apple,57.67572086646501,red
orange,103.39027335570411,orange
apple,56.76720419689093,red
orange,109.84015716449566,orange
apple,84.41222511337092,red
apple,100.62955709083477,green
apple,122.13635751176452,red
apple,118.51135706784223,red
apple,88.27763285596836,green
orange,91.49611252343479,red
orange,97.1056078454091,orange
apple,85.99820265370322,red
apple,89.9265124076143,red
orange,108.98498363831658,orange
orange,95.3790677961201,orange
apple,52.488655570801335,red
apple,67.14651346387879,red
apple,70.08650920322233,red
apple,80.37019150697186,red
apple,80.66133439215066,green
orange,98.74113672016807,orange
orange,101.71838682615655,orange
apple,76.9758986189868,red
orange,105.1670830847676,orange
orange,98.39021695958297,orange
orange,96.74327558760575,green
apple,88.00965889572765,green
orange,95.1889719543943,orange
apple,104.04287947487458,red
apple,83.8601417872153,red
orange,105.11863937399767,orange
apple,126.37706850821928,red
apple,120.32699926674513,red
orange,90.56092105132959,orange
orange,98.31009388366628,orange
orange,102.59080632758378,orange
orange,95.6600653851256,orange
apple,130.56058419295627,red
orange,103.27684033624168,orange
orange,97.40574984120256,orange
orange,98.78319554099501,orange
orange,107.74288407554516,orange
apple,61.94990039941588,red
orange,97.22501330762117,orange
orange,95.15218975796876,green
orange,106.25234823180492,orange
orange,96.55032797829392,orange
orange,99.65482867691055,orange
apple,86.95068288188388,green
orange,98.97135441025772,orange
apple,71.0847639763158,red
apple,50.71044074840536,red
orange,91.67136614073058,orange
apple,61.757631988144645,green
apple,120.56565946050331,red
apple,63.627794871800916,red
apple,149.5375942175275,green
apple,61.42516759586325,red
orange,107.30299623781173,orange
apple,52.30492008204979,red
apple,66.57153426982494,red
orange,99.34939218209993,red
orange,103.90693736118527,orange
apple,73.95006660358044,red
apple,62.84245646614316,green
orange,92.52847814656599,green
orange,95.27202227019598,orange
orange,103.16335957474713,green
apple,107.07406756074744,green
apple,104.59899145984781,green
apple,126.67047354599536,red
apple,66.85128707503463,green
apple,116.72173186232843,red
orange,96.8699218169122,orange
orange,101.09826188056027,orange
orange,99.55948269891074,orange
orange,103.14549988872184,orange
apple,88.3371999584933,red
orange,91.01814484483174,orange
orange,99.85288463350258,orange
apple,52.9445951038371,green
apple,88.38542851145802,red
orange,90.81016583736637,orange
apple,93.03578844675047,green
apple,129.96231811865525,red
orange,109.17084338763237,green
apple,52.85921245705383,red
orange,93.14577483953775,orange
orange,95.14404253036015,orange
orange,100.29856324726286,red
apple,92.0423250691208,red
orange,99.6926518803952,orange
orange,95.02659887818068,orange
apple,55.7183575843913,red
orange,92.00502242428061,orange
orange,91.15186640532013,orange
orange,98.66292143076018,orange
apple,125.90412869104422,red
apple,67.80508223007833,green
orange,100.86389807476493,orange
apple,126.85656199278581,green
orange,101.58013270829515,red
apple,107.15314833053102,red
apple,138.03923346525596,green
apple,136.89699013021527,green
apple,58.52003352456311,red
apple,100.22980954626753,red
apple,148.1099498413597,green
orange,107.5382119953638,orange
orange,92.09453236797194,orange
orange,98.43447044328963,green
orange,104.69801966840471,orange
apple,66.59570077207718,red
apple,133.5551544371017,green
orange,106.31278502896782,green
orange,100.2955094567012,orange
orange,102.98767350336388,orange
apple,92.91705240394519,green
apple,120.87584360837354,green
orange,107.15124211389804,orange
apple,120.45327382681376,green
orange,107.25584033656817,orange
orange,107.2427159911667,orange
orange,93.34216401487869,orange
apple,110.74816755998623,red
orange,100.41798487778681,orange
apple,51.33778576764262,red
orange,99.68877788457462,orange
apple,98.6760655803007,green
apple,134.55166403771705,red
apple,81.34729953629379,red
apple,123.66574377345579,red
apple,90.20565089377267,green
apple,64.82893789430541,red
apple,145.62940573323024,green
apple,57.456437846129226,red
orange,97.84205834241949,orange
apple,88.65642478938628,green
orange,102.18998496166986,orange
apple,62.81640673211092,red
orange,92.14758207064855,orange
apple,88.30642332254638,green
apple,139.75622083834247,green
apple,68.83120781683294,red
apple,144.96055551845222,red
orange,104.7996350531264,orange
orange,108.12716086986134,orange
orange,103.20488465413246,orange
apple,77.98899317713195,green
apple,87.68381154214464,red
orange,98.75184975595621,orange
orange,107.81979911050207,orange
apple,146.88013106242613,red
orange,100.87354048146365,red
orange,98.04884368623962,orange
orange,96.3635939174032,orange
orange,95.32413960689004,orange
apple,124.85019420476709,green
orange,91.40923955279627,orange
apple,124.57227104753143,red
apple,80.44574619354482,red
apple,111.06233885290568,red
orange,101.6147498911172,orange
apple,129.12405508907193,green
apple,91.30711259319752,red
apple,95.57833714552955,green
apple,140.76794473310792,green
apple,76.87454551116976,red
orange,102.80710081682797,orange
apple,72.43322484768967,red
orange,106.68109673039766,red
orange,93.50768724509793,orange
